sentence_index	sentence
3608	Playing a role of almost Bergmanesque intensity ... Bisset is both convincing and radiant .
3609	A smart , provocative drama that does the nearly impossible : It gets under the skin of a man we only know as an evil , monstrous lunatic .
3610	An alternately fascinating and frustrating documentary .
3611	Griffin & Co. manage to be spectacularly outrageous .
3612	Nair 's cast is so large it 's Altman-esque , but she deftly spins the multiple stories in a vibrant and intoxicating fashion .
3613	The movie plays up the cartoon 's more obvious strength of snazziness while neglecting its less conspicuous writing strength .
3614	Poignant Japanese epic about adolescent anomie and heartbreak .
3615	We 've seen it all before in one form or another , but director Hoffman , with great help from Kevin Kline , makes us care about this latest reincarnation of the world 's greatest teacher .
3616	Secretary is not a movie about fetishism .
3617	It is a movie about passion .
3618	Even though it 's common knowledge that Park and his founding partner , Yong Kang , lost Kozmo in the end , you ca n't help but get caught up in the thrill of the company 's astonishing growth .
3619	Although some viewers will not be able to stomach so much tongue-in-cheek weirdness , those who do will have found a cult favorite to enjoy for a lifetime .
3620	What could have easily become a cold , calculated exercise in postmodern pastiche winds up a powerful and deeply moving example of melodramatic moviemaking .
3621	A delightful surprise because despite all the backstage drama , this is a movie that tells stories that work -- is charming , is moving , is funny and looks professional .
3622	The IMAX screen enhances the personal touch of manual animation .
3623	Does an impressive job of relating the complicated history of the war and of filling in the background .
3624	It 's all about Anakin ... and the lustrous polished visuals rich in color and creativity and , of course , special effect .
3625	Lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience .
3626	But it also has many of the things that made the first one charming .
3627	It 's funny , touching , dramatically forceful , and beautifully shot .
3628	Its rawness and vitality give it considerable punch .
3629	A live-wire film that never loses its ability to shock and amaze .
3630	The year 's greatest adventure , and Jackson 's limited but enthusiastic adaptation has made literature literal without killing its soul -- a feat any thinking person is bound to appreciate .
3631	It 's fairly solid -- not to mention well edited so that it certainly does n't feel like a film that strays past the two and a half mark .
3632	Brims with passion : for words , for its eccentric , accident-prone characters , and for the crazy things that keep people going in this crazy life .
3633	It 's secondary to American Psycho but still has claws enough to get inside you and stay there for a couple of hours .
3634	The Hours , a delicately crafted film , is an impressive achievement in spite of a river of sadness that pours into every frame .
3635	Fudges fact and fancy with such confidence that we feel as if we 're seeing something purer than the real thing .
3636	This is unusual , food-for-thought cinema that 's as entertaining as it is instructive .
3637	With an expressive face reminiscent of Gong Li and a vivid personality like Zhang Ziyi 's , Dong stakes out the emotional heart of Happy .
3638	Nohe 's documentary about the event is sympathetic without being gullible : He is n't blind to the silliness , but also captures moments of spontaneous creativity and authentic co-operative interaction .
3639	It may not be as cutting , as witty or as true as back in the glory days of Weekend and Two or Three Things I Know About Her , but who else engaged in filmmaking today is so cognizant of the cultural and moral issues involved in the process ?
3640	Secret Ballot is a funny , puzzling movie ambiguous enough to be engaging and oddly moving .
3641	Although devoid of objectivity and full of nostalgic comments from the now middle-aged participants , Dogtown and Z-Boys has a compelling story to tell .
3642	It 's got some pretentious eye-rolling moments and it did n't entirely grab me , but there 's stuff here to like .
3643	Birthday Girl walks a tricky tightrope between being wickedly funny and just plain wicked .
3644	The enjoyable Undercover Brother , a zany mix of Saturday Night Live-style parody , '70s Blaxploitation films and goofball action comedy gone wild , dishes out a ton of laughs that everyone can enjoy .
3645	Brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life 's harshness .
3646	Jackson is always watchable .
3647	To the degree that ivans xtc .
3648	works , it 's thanks to Huston 's revelatory performance .
3649	A wild ride of a movie that keeps throwing fastballs .
3650	Confessions is without a doubt a memorable directorial debut from King Hunk .
3651	Weird , vulgar comedy that 's definitely an acquired taste .
3652	A. . .
3653	cynical and serious look at teenage boys doing what they do best - being teenagers .
3654	The film is a very good viewing alternative for young women .
3655	Australian filmmaker David Flatman uses the huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them .
3656	A dazzling dream of a documentary .
3657	A keep - 'em - guessing plot and an affectionate take on its screwed-up characters .
3658	Brave and sweetly rendered love story .
3659	The film proves unrelentingly grim -- and equally engrossing .
3660	A hallmark film in an increasingly important film industry and worth the look .
3661	The Last Kiss will probably never achieve the popularity of My Big Fat Greek Wedding , but its provocative central wedding sequence has far more impact .
3662	If you like blood , guts and crazy beasts stalking men with guns though ... you will likely enjoy this monster .
3663	The difference between Cho and most comics is that her confidence in her material is merited .
3664	Sad to say -- it accurately reflects the rage and alienation that fuels the self-destructiveness of many young people .
3665	There is a strong directorial stamp on every frame of this stylish film that is able to visualize schizophrenia but is still confident enough to step back and look at the sick character with a sane eye .
3666	` Anyone with a passion for cinema , and indeed sex , should see it as soon as possible . '
3667	Seeks to transcend its genre with a curiously stylized , quasi-Shakespearean portrait of pure misogynist evil .
3668	Mordantly funny and intimately knowing ...
3669	What makes the movie special is its utter sincerity .
3670	Fast and funny , an action cartoon that 's suspenseful enough for older kids but not too scary for the school-age crowd .
3671	One of those rare films that come by once in a while with flawless amounts of acting , direction , story and pace .
3672	The AAA of action , XXX is a blast of adrenalin , rated EEE for excitement .
3673	And Vin Diesel is the man .
3674	Earnest , unsubtle and Hollywood-predictable , Green Dragon is still a deeply moving effort to put a human face on the travail of thousands of Vietnamese .
3675	An ambitious movie that , like Shiner 's organizing of the big fight , pulls off enough of its effects to make up for the ones that do n't come off .
3676	Nair and writer Laura Cahill dare to build a movie around some flawed but rather unexceptional women , emerging with a fine character study that 's short on plot but rich in the tiny revelations of real life .
3677	The film 's unhurried pace is actually one of its strengths .
3678	Entirely appropriately , the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn .
3679	Despite its floating narrative , this is a remarkably accessible and haunting film .
3680	Vibrantly colored and beautifully designed , Metropolis is a feast for the eyes .
3681	Sweetly sexy , funny and touching .
3682	... while Dark Water is n't a complete wash -LRB- no pun intended -RRB- , watched side-by-side with Ringu , it ultimately comes off as a pale successor .
3683	Is truth stranger than fiction ?
3684	In -LRB- screenwriter -RRB- Charlie Kaufman 's world , truth and fiction are equally strange , and his for the taking .
3685	For decades we 've marveled at Disney 's rendering of water , snow , flames and shadows in a hand-drawn animated world .
3686	Prepare to marvel again .
3687	A witty , low-key romantic comedy .
3688	More good than great but Freeman and Judd make it work .
3689	If you 're looking for a smart , nuanced look at de Sade and what might have happened at Picpus , Sade is your film .
3690	Could have been crisper and punchier , but it 's likely to please audiences who like movies that demand four hankies .
3691	Together writer-director Danny Verete 's three tales comprise a powerful and reasonably fulfilling gestalt .
3692	Bursting through the constraints of its source , this is one adapted - from-television movie that actually looks as if it belongs on the big screen .
3693	Its almost too-spectacular coastal setting distracts slightly from an eccentric and good-naturedly aimless story .
3694	In other words , it 's just another sports drama\/character study .
3695	Yet this one makes up for in heart what it lacks in outright newness .
3696	Plus , like I already mentioned ... it 's Robert Duvall !
3697	C'mon !
3698	This story of a determined woman 's courage to find her husband in a war zone offers winning performances and some effecting moments .
3699	Like Shrek , Spirit 's visual imagination reminds you of why animation is such a perfect medium for children , because of the way it allows the mind to enter and accept another world .
3700	A modestly made but profoundly moving documentary .
3701	It irritates and saddens me that Martin Lawrence 's latest vehicle can explode obnoxiously into 2,500 screens while something of Bubba Ho-Tep 's clearly evident quality may end up languishing on a shelf somewhere .
3702	Not everything in this ambitious comic escapade works , but Coppola , along with his sister , Sofia , is a real filmmaker .
3703	It must be in the genes .
3704	The performers are so spot on , it is hard to conceive anyone else in their roles .
3705	This slight premise ... works because of the ideal casting of the masterful British actor Ian Holm as the aged Napoleon .
3706	Hashiguchi covers this territory with wit and originality , suggesting that with his fourth feature -- the first to be released in the U.S. -- a major director is emerging in world cinema .
3707	Although the film boils down to a lightweight story about matchmaking , the characters make Italian for Beginners worth the journey
3708	The dragons are the real stars of Reign of Fire and you wo n't be disappointed .
3709	Kudos to the most enchanting film of the year .
3710	It works well enough , since the thrills pop up frequently , and the dispatching of the cast is as often imaginative as it is gory .
3711	Colorful and deceptively buoyant until it suddenly pulls the rug out from under you , Burkinabe filmmaker Dani Kouyate 's reworking of a folk story whose roots go back to 7th-century oral traditions is also a pointed political allegory .
3712	It 's a powerful though flawed movie , guaranteed to put a lump in your throat while reaffirming Washington as possibly the best actor working in movies today .
3713	Director Paul Cox 's unorthodox , abstract approach to visualizing Nijinsky 's diaries is both stimulating and demanding .
3714	For 95 often hilarious minutes , -LRB- Cho -RRB- riffs on the diciness of colonics , on straight versus gay personal ads , on how men would act if they had periods , and on the perils of a certain outr̩ sexual practice .
3715	Most of the things that made the original Men in Black such a pleasure are still there .
3716	Mostly honest , this somber picture reveals itself slowly , intelligently , artfully .
3717	Best enjoyed as a work of fiction inspired by real-life events .
3718	Those seeking a definitive account of Eisenstein 's life would do better elsewhere .
3719	-LRB- Westbrook -RRB- makes a wonderful subject for the camera .
3720	A film that 's flawed and brilliant in equal measure .
3721	Even if Invincible is not quite the career peak that The Pianist is for Roman Polanski , it demonstrates that Werner Herzog can still leave us with a sense of wonder at the diverse , marvelously twisted shapes history has taken .
3722	Ultimately too repellent to fully endear itself to American art house audiences , but it is notable for its stylistic austerity and forcefulness .
3723	Hardly a film that comes along every day .
3724	A wild ride with eight boarders from Venice Beach that was a deserved co-winner of the Audience Award for documentaries at the Sundance Film Festival .
3725	The film 's only missteps come from the script 's insistence on providing deep emotional motivation for each and every one of Abagnale 's antics .
3726	A sweet , tender sermon about a 12-year-old Welsh boy more curious about God than girls , who learns that believing in something does matter .
3727	the film belongs to the marvelous Verdu , a sexy slip of an earth mother who mourns her tragedies in private and embraces life in public
3728	More intimate than spectacular , E.T. is carried less by wow factors than by its funny , moving yarn that holds up well after two decades .
3729	For once , a movie does not proclaim the truth about two love-struck somebodies , but permits them time and space to convince us of that all on their own .
3730	If you 're burnt out on It 's a Wonderful Life marathons and bored with A Christmas Carol , it might just be the movie you 're looking for .
3731	It depends on how well flatulence gags fit into your holiday concept .
3732	Moonlight Mile does n't quite go the distance but the cast is impressive and they all give life to these broken characters who are trying to make their way through this tragedy .
3733	It is an indelible epic American story about two families , one black and one white , facing change in both their inner and outer lives .
3734	Not as well-written as Sexy Beast , not as gloriously flippant as Lock , Stock and Two Smoking Barrels , but stylish and moody and exceptionally well-acted .
3735	Quite simply , a joy to watch and -- especially -- to listen to .
3736	A flawed film but an admirable one that tries to immerse us in a world of artistic abandon and political madness and very nearly succeeds .
3737	The filmmakers wisely decided to let Crocodile Hunter Steve Irwin do what he does best , and fashion a story around him .
3738	A winning and wildly fascinating work .
3739	We do get the distinct impression that this franchise is drawing to a close .
3740	Worth catching for Griffiths ' warm and winning central performance .
3741	The tone errs on the shrill side , tempered by a soft southern gentility that speaks of beauty , grace and a closet full of skeletons .
3742	An interesting psychological game of cat-and-mouse , three-dimensional characters and believable performances all add up to a satisfying crime drama .
3743	A meatier deeper beginning and\/or ending would have easily tipped this film into the `` A '' range , as is , it 's a very very strong `` B + . ''
3744	I love the robust middle of this picture .
3745	The power of Shanghai Ghetto , a documentary by Dana Janklowicz-Mann and Amir Mann , rests in the voices of men and women , now in their 70s , who lived there in the 1940s .
3746	Maintains your interest until the end and even leaves you with a few lingering animated thoughts .
3747	There is a beautiful , aching sadness to it all .
3748	Paul Cox needed to show it .
3749	It is up to you to decide if you need to see it .
3750	If Divine Secrets of the Ya-Ya Sisterhood suffers from a ploddingly melodramatic structure , it comes to life in the performances .
3751	If you ignore the cliches and concentrate on City by the Sea 's interpersonal drama , it ai n't half-bad .
3752	There are n't too many films that can be as simultaneously funny , offbeat and heartwarming -LRB- without a thick shmear of the goo , at least -RRB- , but `` Elling '' manages to do all three quite well , making it one of the year 's most enjoyable releases .
3753	Reign of Fire is hardly the most original fantasy film ever made -- beyond Road Warrior , it owes enormous debts to Aliens and every previous dragon drama -- but that barely makes it any less entertaining .
3754	An earnest , roughshod document , it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool .
3755	Samuel Beckett applied to the Iranian voting process .
3756	The Bard as black comedy -- Willie would have loved it .
3757	Another trumpet blast that there may be a New Mexican Cinema a-bornin ' . '
3758	... the film 's considered approach to its subject matter is too calm and thoughtful for agitprop , and the thinness of its characterizations makes it a failure as straight drama . '
3759	Tadpole may be one of the most appealing movies ever made about an otherwise appalling , and downright creepy , subject -- a teenage boy in love with his stepmother .
3760	This is a story that zings all the way through with originality , humour and pathos .
3761	As underwater ghost stories go , Below casts its spooky net out into the Atlantic Ocean and spits it back , grizzled and charred , somewhere northwest of the Bermuda Triangle .
3762	It is a challenging film , if not always a narratively cohesive one .
3763	Trapped wo n't score points for political correctness , but it may cause parents a few sleepless hours -- a sign of its effectiveness .
3764	A rock-solid gangster movie with a fair amount of suspense , intriguing characters and bizarre bank robberies , plus a heavy dose of father-and-son dynamics .
3765	It 's incredible the number of stories the Holocaust has generated .
3766	Just when you think that every possible angle has been exhausted by documentarians , another new film emerges with yet another remarkable yet shockingly little-known perspective .
3767	As they used to say in the 1950s sci-fi movies , Signs is a tribute to Shyamalan 's gifts , which are such that we 'll keep watching the skies for his next project .
3768	There 's no conversion effort , much of the writing is genuinely witty and both stars are appealing enough to probably have a good shot at a Hollywood career , if they want one .
3769	Like a skillful fisher , the director uses the last act to reel in the audience since its poignancy hooks us completely .
3770	A film with contemporary political resonance illustrated by a winning family story .
3771	Kids five and up will be delighted with the fast , funny , and even touching story .
3772	Parents may even find that it goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults .
3773	An unsettling , memorable cinematic experience that does its predecessors proud .
3774	Maid in Manhattan might not look so appealing on third or fourth viewing down the road ... But as a high concept vehicle for two bright stars of the moment who can rise to fans ' lofty expectations , the movie passes inspection .
3775	Much of All About Lily Chou-Chou is mesmerizing : some of its plaintiveness could make you weep .
3776	Ferrara 's strongest and most touching movie of recent years .
3777	Spielberg 's first real masterpiece , it deserved all the hearts it won -- and wins still , 20 years later .
3778	The screenwriters dig themselves in deeper every time they toss logic and science into what is essentially a `` Dungeons and Dragons '' fantasy with modern military weaponry ...
3779	More than simply a portrait of early extreme sports , this peek into the 1970s skateboard revolution is a skateboard film as social anthropology ...
3780	What I saw , I enjoyed .
3781	The level of acting elevates the material above pat inspirational status and gives it a sturdiness and solidity that we 've long associated with Washington the actor .
3782	A deft , delightful mix of sulky teen drama and overcoming-obstacles sports-movie triumph .
3783	Daringly perceptive , taut , piercing and feisty , Biggie and Tupac is undeniably subversive and involving in its bold presentation .
3784	Delivers more than its fair share of saucy hilarity .
3785	A fairly enjoyable mixture of Longest Yard ... and the 1999 Guy Ritchie caper Lock Stock and Two Smoking Barrels .
3786	Happily , some things are immune to the folly of changing taste and attitude .
3787	For proof of that on the cinematic front , look no further than this 20th anniversary edition of the film that Spielberg calls , retrospectively , his most personal work yet .
3788	Hugely entertaining from start to finish , featuring a fall from grace that still leaves shockwaves , it will gratify anyone who has ever suspected Hollywood of being overrun by corrupt and hedonistic weasels .
3789	It 's not like having a real film of Nijinsky , but at least it 's better than that eponymous 1980 biopic that used soap in the places where the mysteries lingered .
3790	It 's probably worth catching solely on its visual merits .
3791	If only it had the story to match .
3792	Like other great documentaries ... this goes after one truth -LRB- the Ford administration 's complicity in tearing ` orphans ' from their mothers -RRB- and stumbles upon others even more compelling .
3793	... only Bond can save us from the latest eccentric , super-wealthy megalomaniac bent on world domination and destruction .
3794	The first half bursts with a goofy energy previous Disney films only used for a few minutes here and there .
3795	It 's quite diverting nonsense .
3796	An old-fashioned scary movie , one that relies on lingering terror punctuated by sudden shocks and not constant bloodshed punctuated by flying guts .
3797	For all the wit and hoopla , Festival In Cannes offers rare insight into the structure of relationships .
3798	What makes How I Killed My Father compelling , besides its terrific performances , is Fontaine 's willingness to wander into the dark areas of parent-child relationships without flinching .
3799	Renner ?
3800	s face is chillingly unemotive , yet he communicates a great deal in his performance .
3801	See it for his performance if nothing else .
3802	... the kind of entertainment that parents love to have their kids see .
3803	It 's a fine , focused piece of work that reopens an interesting controversy and never succumbs to sensationalism .
3804	Its engaging simplicity is driven by appealing leads .
3805	Swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds .
3806	A respectable venture on its own terms , lacking the broader vision that has seen certain Trek films ... cross over to a more mainstream audience .
3807	It 's weird , wonderful , and not necessarily for kids .
3808	An elegant film with often surprising twists and an intermingling of naivet̩ and sophistication .
3809	Blessed with two fine , nuanced lead performances .
3810	While this has the making of melodrama , the filmmaker cuts against this natural grain , producing a work that 's more interested in asking questions than in answering them .
3811	As a girl-meets-girl romantic comedy , Kissing Jessica Steinis quirky , charming and often hilarious .
3812	Yet it 's not quite the genre-busting film it 's been hyped to be because it plays everything too safe .
3813	You do n't need to know your Ice-T 's from your Cool-J 's to realize that as far as these shootings are concerned , something is rotten in the state of California .
3814	Turturro is fabulously funny and over the top as a ` very sneaky ' butler who excels in the art of impossible disappearing\/reappearing acts
3815	Meant for Star Wars fans .
3816	It is there to give them a good time .
3817	From a deceptively simple premise , this deeply moving French drama develops a startling story that works both as a detailed personal portrait and as a rather frightening examination of modern times .
3818	Simply and eloquently articulates the tangled feelings of particular New Yorkers deeply touched by an unprecedented tragedy .
3819	Provides a very moving and revelatory footnote to the Holocaust .
3820	Terrific performances , great to look at , and funny .
3821	A little uneven to be the cat 's meow , but it 's good enough to be the purr .
3822	It 's a compelling and horrifying story , and The Laramie Project is worthwhile for reminding us that this sort of thing does , in fact , still happen in America .
3823	I like it .
3824	There is a freedom to watching stunts that are this crude , this fast-paced and this insane .
3825	That rare documentary that incorporates so much of human experience -- drama , conflict , tears and surprise -- that it transcends the normal divisions between fiction and nonfiction film .
3826	That rare movie that works on any number of levels -- as a film of magic and whimsy for children , a heartfelt romance for teenagers and a compelling argument about death , both pro and con , for adults .
3827	It 's both degrading and strangely liberating to see people working so hard at leading lives of sexy intrigue , only to be revealed by the dispassionate Gantz brothers as ordinary , pasty lumpen .
3828	A sharp and quick documentary that is funny and pithy , while illuminating an era of theatrical comedy that , while past , really is n't .
3829	The film does a solid job of slowly , steadily building up to the climactic burst of violence .
3830	Fred Schepisi 's tale of four Englishmen facing the prospect of their own mortality views youthful affluence not as a lost ideal but a starting point .
3831	The directive to protect the code at all costs also begins to blur as the importance of the man and the code merge
3832	Overall , Cletis Tout is a winning comedy that excites the imagination and tickles the funny bone .
3833	Easily one of the best and most exciting movies of the year .
3834	The script manages the rare trick of seeming at once both refreshingly different and reassuringly familiar .
3835	An engaging , formulaic sports drama that carries a charge of genuine excitement .
3836	Insomnia is one of the year 's best films and Pacino gives one of his most daring , and complicated , performances .
3837	Like Vardalos and Corbett , who play their roles with vibrant charm , the film , directed by Joel Zwick , is heartfelt and hilarious in ways you ca n't fake .
3838	I do n't know if Frailty will turn Bill Paxton into an A-list director , but he can rest contentedly with the knowledge that he 's made at least one damn fine horror movie .
3839	Despite its flaws ... Belinsky is still able to create an engaging story that keeps you guessing at almost every turn .
3840	Each punch seen through prison bars , the fights become not so much a struggle of man vs. man as Brother-Man vs. The Man .
3841	The evocative imagery and gentle , lapping rhythms of this film are infectious -- it gets under our skin and draws us in long before the plot kicks into gear .
3842	Like the best of Godard 's movies ... it is visually ravishing , penetrating , impenetrable .
3843	Horns and Halos benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth .
3844	-LRB- Has -RRB- an immediacy and an intimacy that sucks you in and dares you not to believe it 's all true .
3845	It treats Ana 's journey with honesty that is tragically rare in the depiction of young women in film .
3846	Captivates as it shows excess in business and pleasure , allowing us to find the small , human moments , and leaving off with a grand whimper .
3847	A refreshingly realistic , affectation-free coming-of-age tale .
3848	How good this film might be , depends if you believe that the shocking conclusion is too much of a plunge or not .
3849	Great fun both for sports aficionados and for ordinary louts whose idea of exercise is climbing the steps of a stadium-seat megaplex .
3850	Features one of the most affecting depictions of a love affair ever committed to film .
3851	To honestly address the flaws inherent in how medical aid is made available to American workers , a more balanced or fair portrayal of both sides will be needed .
3852	One of the best movies of the year .
3853	The usual movie rah-rah , pleasantly and predictably delivered in low-key style by director Michael Apted and writer Tom Stoppard .
3854	A superlative B movie -- funny , sexy , and rousing .
3855	Those prone to indignation need not apply ; those susceptible to blue hilarity , step right up .
3856	Like Mike is n't going to make box office money that makes Michael Jordan jealous , but it has some cute moments , funny scenes , and hits the target audience -LRB- young Bow Wow fans -RRB- - with nothing but net .
3857	-LRB- Dong -RRB- makes a valiant effort to understand everyone 's point of view , and he does such a good job of it that Family Fundamentals gets you riled up .
3858	The trick when watching Godard is to catch the pitch of his poetics , savor the pleasure of his sounds and images , and ponder the historical , philosophical , and ethical issues that intersect with them .
3859	At its best , which occurs often , Michael Moore 's Bowling for Columbine rekindles the muckraking , soul-searching spirit of the ` Are we a sick society ? '
3860	journalism of the 1960s .
3861	A modestly surprising movie .
3862	A headline-fresh thriller set among orthodox Jews on the West Bank , Joseph Cedar 's Time Of Favor manages not only to find a compelling dramatic means of addressing a complex situation , it does so without compromising that complexity .
3863	There 's a spontaneity to The Chateau , a sense of light-heartedness , that makes it attractive throughout .
3864	The first Tunisian film I have ever seen , and it 's also probably the most good-hearted yet sensual entertainment I 'm likely to see all year .
3865	Like any good romance , Son of the Bride , proves it 's never too late to learn .
3866	-LRB- Kline 's -RRB- utterly convincing -- and deeply appealing -- as a noble teacher who embraces a strict moral code , and as a flawed human being who ca n't quite live up to it .
3867	The film , while not exactly assured in its execution , is notable for its sheer audacity and openness .
3868	A thoroughly enjoyable , heartfelt coming-of-age comedy .
3869	Feeling like a dope has rarely been more fun than it is in Nine Queens .
3870	Leigh makes these lives count .
3871	And he allows a gawky actor like Spall -- who could too easily become comic relief in any other film -- to reveal his impressively delicate range .
3872	A lot of fun , with an undeniable energy sparked by two actresses in their 50s working at the peak of their powers .
3873	Promises is one film that 's truly deserving of its Oscar nomination .
3874	What bubbles up out of John C. Walsh 's Pipe Dream is the distinct and very welcome sense of watching intelligent people making a movie they might actually want to watch .
3875	If Reno is to the left of liberal on the political spectrum , her tough , funny , rather chaotic show is n't subversive so much as it is nit-picky about the hypocrisies of our time .
3876	Beautiful , angry and sad , with a curious sick poetry , as if the Marquis de Sade had gone in for pastel landscapes .
3877	Ms. Hutchins is talented enough and charismatic enough to make us care about Zelda 's ultimate fate .
3878	Monte Cristo smartly emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds .
3879	A mesmerizing cinematic poem from the first frame to the last .
3880	-LRB- It 's -RRB- a clever thriller with enough unexpected twists to keep our interest .
3881	An undeniably moving film to experience , and ultimately that 's what makes it worth a recommendation .
3882	Nicole Kidman evolved from star to superstar some time over the past year , which means that Birthday Girl is the kind of quirkily appealing minor movie she might not make for a while .
3883	Vividly conveys the shadow side of the 30-year friendship between two English women .
3884	The story has some nice twists but the ending and some of the back-story is a little tired .
3885	The performances are all solid ; it merely lacks originality to make it a great movie .
3886	Manages to please its intended audience -- children -- without placing their parents in a coma-like state .
3887	When you think you 've figured out Bielinsky 's great game , that 's when you 're in the most trouble : He 's the con , and you 're just the mark .
3888	A strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing Spider-Man .
3889	Driven by a fantastic dual performance from Ian Holm ... the film is funny , insightfully human and a delightful lark for history buffs .
3890	A well-put-together piece of urban satire .
3891	It 's the sweet Cinderella story that `` Pretty Woman '' wanted to be .
3892	It will make you think twice about what might be going on inside each trailer park you drive past -- even if it chiefly inspires you to drive a little faster .
3893	What does n't this film have that an impressionable kid could n't stand to hear ?
3894	What saves it ... and makes it one of the better video-game-based flicks , is that the film acknowledges upfront that the plot makes no sense , such that the lack of linearity is the point of emotional and moral departure for protagonist Alice .
3895	A deeply felt and vividly detailed story about newcomers in a strange new world .
3896	It 's a visual delight and a decent popcorn adventure , as long as you do n't try to look too deep into the story
3897	It 's a feel-good movie about which you can actually feel good .
3898	A full experience , a love story and a murder mystery that expands into a meditation on the deep deceptions of innocence .
3899	The Powerpuff Girls arrive on the big screen with their super-powers , their super-simple animation and their super-dooper-adorability intact .
3900	-LRB- Raimi 's -RRB- matured quite a bit with Spider-Man , even though it 's one of the most plain white toast comic book films you 'll ever see .
3901	A new film from Bill Plympton , the animation master , is always welcome .
3902	A devastating indictment of unbridled greed and materalism .
3903	What makes the film special is the refreshingly unhibited enthusiasm that the people , in spite of clearly evident poverty and hardship , bring to their music .
3904	The film has a kind of hard , cold effect .
3905	The gags are often a stitch .
3906	The asylum material is gripping , as are the scenes of Jia with his family .
3907	A bonanza of wacky sight gags , outlandish color schemes , and corny visual puns that can be appreciated equally as an abstract Frank Tashlin comedy and as a playful recapitulation of the artist 's career .
3908	One ca n't deny its seriousness and quality .
3909	Good performances and a realistic , non-exploitive approach make Paid in Full worth seeing .
3910	This engrossing , characteristically complex Tom Clancy thriller is shifty in the manner in which it addresses current terrorism anxieties and sidesteps them at the same time .
3911	Ryan Gosling is , in a word , brilliant as the conflicted Daniel .
3912	... somehow manages to escape the shackles of its own clich̩s to be the best espionage picture to come out in weeks .
3913	Much of The Lady and the Duke is about quiet , decisive moments between members of the cultural elite as they determine how to proceed as the world implodes .
3914	Takes a simple premise and carries it to unexpected heights .
3915	With few respites , Marshall keeps the energy humming , and his edits , unlike those in Moulin Rouge , are crisp and purposeful without overdoing it .
3916	Its metaphors are opaque enough to avoid didacticism , and the film succeeds as an emotionally accessible , almost mystical work .
3917	Provides a satisfactory overview of the bizarre world of extreme athletes as several daredevils express their own views .
3918	Inventive , fun , intoxicatingly sexy , violent , self-indulgent and maddening .
3919	Comedian , like its subjects , delivers the goods and audiences will have a fun , no-frills ride .
3920	A naturally funny film , Home Movie makes you crave Chris Smith 's next movie .
3921	Pipe Dream does have its charms .
3922	The leads are natural and lovely , the pace is serene , the humor wry and sprightly .
3923	Those who want to be jolted out of their gourd should drop everything and run to Ichi .
3924	... enthusiastically invokes the percussion rhythm , the brass soul and the sense of fierce competition that helps make great marching bands half the fun of college football games .
3925	Sheds light on a subject few are familiar with , and makes you care about music you may not have heard before .
3926	Despite the film 's bizarre developments , Hoffman keeps us riveted with every painful nuance , unexpected flashes of dark comedy and the character 's gripping humanity .
3927	To get at the root psychology of this film would require many sessions on the couch of Dr. Freud .
3928	Great over-the-top moviemaking if you 're in a slap-happy mood .
3929	Viveka Seldahl and Sven Wollter will touch you to the core in a film you will never forget -- that you should never forget .
3930	The magic -LRB- and original running time -RRB- of ace Japanimator Hayao Miyazaki 's Spirited Away survives intact in BV 's re-voiced version .
3931	From the dull , surreal ache of mortal awareness emerges a radiant character portrait .
3932	Captures the raw comic energy of one of our most flamboyant female comics .
3933	It 's not particularly subtle ... However , it still manages to build to a terrifying , if obvious , conclusion .
3934	The auteur 's ear for the way fears and slights are telegraphed in the most blithe exchanges gives the film its lingering tug .
3935	Bolstered by exceptional performances and a clear-eyed take on the economics of dealing and the pathology of ghetto fabulousness .
3936	This enthralling documentary ... is at once playful and haunting , an in-depth portrait of an iconoclastic artist who was fundamentally unknowable even to his closest friends .
3937	Some remarkable achival film about how Shanghai -LRB- of all places -RRB- served Jews who escaped the Holocaust .
3938	In a movie full of surprises , the biggest is that Secret Ballot is a comedy , both gentle and biting .
3939	The urban landscapes are detailed down to the signs on the kiosks , and the color palette , with lots of somber blues and pinks , is dreamy and evocative .
3940	A manically generous Christmas vaudeville .
3941	Tony Gayton 's script does n't give us anything we have n't seen before , but director D.J. Caruso 's grimy visual veneer and Kilmer 's absorbing performance increase the gravitational pull considerably .
3942	A psychic journey deep into the very fabric of Iranian ... life .
3943	It 's a smartly directed , grown-up film of ideas .
3944	While puerile men dominate the story , the women shine .
3945	Unlike lots of Hollywood fluff , this has layered , well-developed characters and some surprises .
3946	For a film that 's being advertised as a comedy , Sweet Home Alabama is n't as funny as you 'd hoped .
3947	For a film that 's being advertised as a comedy , Sweet Home Alabama is n't as funny as you 'd hoped .
